id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_162,UNI7311968409324757496,0.19,0,0.16,0
conj_163,UNI6196649027885735896,0.16,0,0.19,0
conj_164,UNI7688602989636868070,0.19,0,0.26,0
conj_165,UNI157879330160594168,0.14,0,0.16,0
conj_166,UNI8275545313689671188,0.15,0,0.15,0
conj_167,UNI1095661169782432840,0.19,0,0.18,0
conj_168,UNI5396909113034528125,0.16,0,0.25,0
conj_169,UNI3051461949893720724,0.18,0,0.18,0
conj_170,UNI8342226915114889915,0.18,0,0.18,0
conj_171,UNI340120448901539051,0.18,0,0.18,0
conj_172,UNI412668991714941640,0.23,0,0.16,0
conj_173,UNI8561466222859282995,0.16,0,0.34,0
conj_174,UNI3853441940332851272,0.17,0,0.16,0
conj_175,UNI8096583746573061144,0.16,0,0.19,0
conj_176,UNI7299917945374261164,0.39,0,0.26,0
conj_177,IDENTInterface,0.21,0,0.25,0
conj_178,UNI158263077553860190,0.19,0,0.17,0
conj_179,UNI5012352313203851280,0.15,0,0.15,0
conj_180,UNI1535191881170858382,0.17,0,0.17,0
conj_181,UNI3048705375058012398,0.21,0,0.28,0
conj_182,UNI7096764303998557014,0.18,0,0.2,0
conj_183,UNI7658407410852542490,0.2,0,0.15,0
conj_184,UNI9143847496524501018,0.27,0,0.3,0
conj_185,UNI4780252285166340875,0.45,0,0.17,0
conj_186,UNI8295741800016451920,0.17,0,0.39,0
conj_187,UNI959522039805454445,0.15,0,0.16,0
conj_188,UNI8562935549034116632,0.16,0,0.17,0
conj_189,UNI4487771674293244528,0.17,0,0.39,0
conj_190,UNI4601669817183288256,0.17,0,0.16,0
conj_191,UNI7842118825099117320,0.17,0,0.32,0
conj_192,UNI4868224803853457416,0.15,0,0.25,0
conj_193,UNI3842059401881147565,0.34,0,0.24,0
conj_194,UNI7869783011192646751,0.15,0,0.2,0
conj_195,UNI5945078787289474809,0.18,0,0.16,0
conj_196,UNI4855687425146793967,0.18,0,0.17,0
conj_197,UNI1761426908558629111,0.23,0,0.17,0
conj_198,UNI7665559966107997905,0.18,0,0.16,0
conj_199,UNI5236994137154255014,0.18,0,0.17,0
conj_200,UNI8787601106819751955,0.2,0,0.19,0
conj_201,UNI6952220554373325244,0.18,0,0.16,0
conj_202,UNI1456666932048182335,0.17,0,0.17,0
conj_203,UNI5336339199140005059,0.18,0,0.25,0
conj_204,UNI9143579472439309443,0.16,0,0.16,0
conj_205,UNI7497604142401734605,0.16,0,0.16,0
conj_206,UNI4022283761566387284,0.17,0,0.17,0
conj_207,UNI5778719426686347758,0.18,0,0.16,0
conj_208,UNI6285607171893630155,0.17,0,0.18,0
conj_209,UNI9121542921485120729,0.18,0,0.17,0
conj_210,UNI6352254582969050224,0.15,0,0.16,0
conj_211,UNI4049743030345930584,0.19,0,0.17,0
conj_212,SetallowedsessionrolesinUsersessions,1.2,0,7.71,0
